text,setiment
"Ngoc Pham, a 83 yr old Vietnamese man, was one of 2 Asian seniors attacked by the same perpetrator yesterday. He survived 17 yrs in a Vietnamese concentration camp, only to be assaulted while grocery shopping. His son has asked us all to get his story out.",negative
I’m making the following announcement and formal apology today - and sincerely appreciate the support I have received thus far and will depend on in the coming days.,positive
"“The most aggressive field operation in California is Sanders’...who is also devoting outsized resources to building support among California Latinos.” - via @latimes https://latimes.com/politics/story/2019-12-05/kamala-harris-california-primary… #Bernie2020 Way to focus on movement building. Go get ‘em, Jane.",positive
Thank you Supervisor @AaronPeskin for endorsing Senator Sanders early! #Bernie2020,positive
#tbt sharing a meal w/my friend @narendramodi  Wishing him luck as he enters the final week of race for India PM #bjp,positive
Glad to know one reporter does her homework.....,positive
I saw the report Rep Aaron Schock missing-I called his cell phone and he answered....so not missing :),neutral
Obama just claimed you can't raise a family on $7.25 hr.  NEWS FLASH: you can't do it on $10.10 hr either! #sotu,negative
I’ve seen the best and worst of the legal system in America. $220k in over billing by an attorney who had a fiduciary responsibility to my campaign.  Glad the DOJ spent so much time on estimated mileage statements. Let’s see what they do about this theft. https://pjstar.com/news/20190913/judge-aaron-schocks-campaign-committee-got-overbilled-by-lawyer…,negative
Awesome hosting by @StephenAtHome during tonight's Kennedy Center Honors. @BrunoMars @ladygaga @Usher among tributes,positive
I call this one: “A retired union pipefitter welder and retired public school secretary walk into their youngest daughter’s Congressional office” ... My first visitors. ,neutral
I can tell you this — every foreign diplomat and intel officer posted to the United States is surely writing cables back home tonight about the fragility of America’s democracy and the depravity of her President. 1/8,negative
"Hope Hicks, one of the best-known but least visible former members of President Trump’s White House staff, is facing an existential question: whether to comply with a congressional subpoena https://nyti.ms/2I329XZ",neutral
I can tell you this — every foreign diplomat and intel officer posted to the United States is surely writing cables back home tonight about the fragility of America’s democracy and the depravity of her President. 1/8,negative
